FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Aaron,Gordon,black/Mixed,USA,,Aaron Gordon
Aaron,Holiday,black,USA,,Aaron Holiday
Abdel,Nader,white,Egypt,Middle Eastern,Abdel Nader
Adam,Mokoka,black,France,,Adam Mokoka
Admiral,Schofield,black,England,,Admiral Schofield
Al,Horford,black,Dominican Republic,Hispanic,Al Horford
Al-Farouq,Aminu,black,Nigeria,,Al-Farouq Aminu
Alec,Burks,black,USA,,Alec Burks
Alen,Smailagic,white,Serbia,,Alen Smailagic
Alex,Caruso,white,USA,,Alex Caruso
Alex,Len,white,Ukraine,,Alex Len
Alfonzo,McKinnie,black,USA,,Alfonzo McKinnie
Alize,Johnson,black,USA,,Alize Johnson
Allonzo,Trier,black,USA,,Allonzo Trier
Amir,Coffey,black,USA,,Amir Coffey
Andre,Drummond,black,USA,,Andre Drummond
Andre,Iguodala,black,USA,,Andre Iguodala
Andre,Roberson,black,USA,,Andre Roberson
Andrew,Wiggins,black,Canada,,Andrew Wiggins
Anfernee,Simons,black,USA,,Anfernee Simons
Ante,Zizic,white,Croatia,,Ante Zizic
Anthony,Davis,black,USA,,Anthony Davis
Antonius,Cleveland,black,USA,,Antonius Cleveland
Anzejs,Pasecniks,white,Latvia,,Anzejs Pasecniks
Aron,Baynes,white,Australia,,Aron Baynes
Austin,Rivers,black/Mixed,USA,,Austin Rivers
Avery,Bradley,black,USA,,Avery Bradley
Bam,Adebayo,black,USA,,Bam Adebayo
Ben,McLemore,black,USA,,Ben McLemore
Ben,Simmons,black/Mixed,Australia,,Ben Simmons
Bismack,Biyombo,black,Congo,,Bismack Biyombo
BJ,Johnson,black,USA,,BJ Johnson
Blake,Griffin,black/Mixed,USA,,Blake Griffin
Boban,Marjanovic,white,Serbia,,Boban Marjanovic
Bobby,Portis,black,USA,,Bobby Portis
Bogdan,Bogdanovic,white,Serbia,,Bogdan Bogdanovic
Bojan,Bogdanovic,white,Serbia,,Bojan Bogdanovic
Bol,Bol,black,Sudan,,Bol Bol
Brad,Wanamaker,black,USA,,Brad Wanamaker
Bradley,Beal,black,USA,,Bradley Beal
Brandon,Clarke,black,USA,,Brandon Clarke
Brandon,Goodwin,black,USA,,Brandon Goodwin
Brandon,Ingram,black,USA,,Brandon Ingram
